gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
384,Diemen,33327,0.161,0.12300000000000001,0.038,5366,1771,354,1274,330,1,1392279,72064,4099,1353,271,976,253,1,1063667,55249,1266,418,84,302,78,0,328613,17033
385,Edam-Volendam,37143,0.228,0.17600000000000002,0.052000000000000005,8469,2795,559,2012,522,2,2197302,113992,6537,2157,431,1552,402,2,1695735,87787,1931,637,127,457,118,1,500780,25768
388,Enkhuizen,18779,0.23199999999999998,0.17600000000000002,0.055999999999999994,4357,1438,288,1037,269,1,1130490,58743,3305,1091,218,785,204,1,857694,44549,1052,347,69,248,64,0,272796,13976
392,Haarlem,169038,0.17600000000000002,0.132,0.044000000000000004,29751,9818,1964,7070,1833,8,7718464,400284,22313,7363,1473,5303,1375,6,5788455,300267,7438,2455,491,1768,458,2,1930009,100016
394,Haarlemmermeer,166669,0.18100000000000002,0.138,0.042,30167,9955,1991,7168,1858,8,7826167,405743,23000,7590,1518,5465,1417,6,5966912,309439,7000,2310,462,1663,431,2,1816017,94120
396,Heemskerk,39488,0.244,0.17600000000000002,0.068,9635,3180,636,2290,594,3,2499971,129715,6950,2294,459,1652,428,2,1803438,93465,2685,886,177,637,165,1,696533,36032
397,Heemstede,27549,0.281,0.18899999999999997,0.092,7741,2555,511,1840,477,2,2008624,104165,5207,1718,344,1238,321,1,1350613,70099,2535,837,167,601,156,1,658011,34067
399,Heiloo,24570,0.27699999999999997,0.193,0.084,6806,2246,449,1616,419,2,1765703,91500,4742,1565,313,1127,292,1,1230332,63766,2064,681,136,490,127,1,535371,27734
400,Den Helder,56673,0.251,0.18899999999999997,0.061,14225,4694,939,3380,876,4,3690209,191298,10711,3535,707,2545,660,3,2779056,144128,3457,1141,228,821,213,1,897002,46514
402,Hilversum,94784,0.18899999999999997,0.13699999999999998,0.053,17914,5912,1182,4255,1103,5,4647745,240869,12985,4285,857,3085,800,4,3368672,174701,5024,1658,332,1195,310,1,1303444,67697
405,Hoorn,76124,0.209,0.162,0.047,15910,5250,1050,3780,980,4,4127311,214009,12332,4070,814,2930,760,3,3199648,165966,3578,1181,236,850,220,1,928448,48043
406,Huizen,41158,0.265,0.19899999999999998,0.066,10907,3599,720,2592,672,3,2829370,146749,8190,2703,541,1948,505,2,2124975,110280,2716,896,179,644,167,1,704394,36469
415,Landsmeer,11718,0.235,0.174,0.061,2754,909,182,655,170,1,714614,37124,2039,673,135,486,126,1,529082,27515,715,236,47,169,44,0,185532,9609
417,Laren,11575,0.325,0.20600000000000002,0.12,3762,1241,248,893,232,1,975618,50663,2384,787,157,565,146,1,618704,31883,1389,458,92,331,86,0,360059,18780
420,Medemblik,46260,0.23399999999999999,0.182,0.052000000000000005,10825,3572,714,2570,666,3,2808143,145439,8419,2778,556,2002,519,2,2183937,113337,2406,794,159,572,148,1,624207,32320
431,Oostzaan,9722,0.225,0.16399999999999998,0.062,2187,722,144,518,134,1,567603,29262,1594,526,105,378,98,0,413517,21401,603,199,40,144,37,0,156445,8080
432,Opmeer,12729,0.23399999999999999,0.17600000000000002,0.057,2979,983,197,709,184,1,772790,40181,2240,739,148,533,138,1,580968,30136,726,240,48,173,45,0,188677,9827
437,Ouder-Amstel,14483,0.223,0.168,0.055,3230,1066,213,767,199,1,838041,43457,2433,803,161,580,150,1,631282,32756,797,263,53,191,50,0,206759,10919
439,Purmerend,96168,0.21600000000000003,0.161,0.055999999999999994,20772,6855,1371,4936,1280,6,5389088,279522,15483,5109,1022,3679,954,4,4016463,208331,5385,1777,355,1278,331,1,1396996,72283
441,Schagen,48751,0.26,0.193,0.067,12675,4183,837,3013,781,3,3288484,170552,9409,3105,621,2236,580,3,2441009,126658,3266,1078,216,778,202,1,847474,44112
448,Texel,13948,0.282,0.215,0.068,3933,1298,260,936,243,1,1020428,53065,2999,990,198,713,185,1,778293,40400,948,313,63,227,59,0,246066,12884
450,Uitgeest,13454,0.207,0.159,0.048,2785,919,184,662,172,1,722476,37561,2139,706,141,508,132,1,555025,28826,646,213,43,155,40,0,167451,8735
451,Uithoorn,32182,0.18899999999999997,0.135,0.054000000000000006,6082,2007,401,1444,374,2,1577812,81673,4345,1434,287,1033,268,1,1127345,58525,1738,574,115,414,107,0,451253,23366
453,Velsen,70372,0.218,0.163,0.055,15341,5063,1013,3647,946,4,3980300,206584,11471,3785,757,2725,706,3,2975594,154174,3870,1277,255,918,238,1,1003919,51974
473,Zandvoort,17328,0.275,0.2,0.075,4765,1572,314,1130,293,1,1235835,63984,3466,1144,229,824,214,1,899361,46733,1300,429,86,310,80,0,337260,17470
479,Zaanstad,164860,0.188,0.139,0.049,30994,10228,2046,7366,1910,8,8040787,417099,22916,7562,1512,5443,1411,6,5944899,308129,8078,2666,533,1919,498,2,2095888,108751
482,Alblasserdam,20251,0.20600000000000002,0.146,0.061,4172,1377,275,990,257,1,1082535,56123,2957,976,195,702,182,1,767287,39744,1235,408,82,295,76,0,320751,16597
484,Alphen aan den Rijn,116905,0.207,0.157,0.049,24199,7986,1597,5749,1490,7,6278229,325381,18354,6057,1211,4360,1130,5,4761737,246765,5728,1890,378,1361,353,2,1485832,77087
489,Barendrecht,48611,0.201,0.151,0.05,9771,3224,645,2322,602,3,2534562,131462,7340,2422,484,1742,452,2,1904066,98706,2431,802,160,576,149,1,630496,32538
498,Drechterland,20547,0.23399999999999999,0.179,0.055,4808,1587,317,1141,296,1,1247627,64639,3678,1214,243,875,227,1,954391,49571,1130,373,75,270,70,0,293236,15286
502,Capelle aan den IJssel,69358,0.223,0.171,0.052000000000000005,15467,5104,1021,3676,953,4,4012532,208113,11860,3914,783,2819,731,3,3077008,159633,3607,1190,238,857,222,1,935524,48480
503,Delft,110201,0.165,0.127,0.038,18183,6000,1200,4320,1120,5,4716926,244581,13996,4619,924,3326,862,4,3631247,188240,4188,1382,276,994,258,1,1086465,56341
505,Dordrecht,123029,0.20199999999999999,0.152,0.05,24852,8201,1640,5904,1531,7,6447252,334334,18700,6171,1234,4442,1152,5,4851359,251569,6151,2030,406,1462,379,2,1595893,82765
512,Gorinchem,39048,0.198,0.14800000000000002,0.05,7732,2552,510,1836,476,2,2006266,103947,5779,1907,381,1372,356,2,1499196,77742,1952,644,129,464,120,1,506283,26205
513,Gouda,77600,0.207,0.154,0.053,16063,5301,1060,3816,989,4,4167404,215974,11950,3944,789,2840,736,3,3100593,160725,4113,1357,271,976,253,1,1066812,55249
518,'s-Gravenhage,568869,0.154,0.11800000000000001,0.036000000000000004,87606,28910,5782,20815,5396,24,22727723,1178358,67127,22152,4430,15948,4135,18,17414892,902986,20479,6758,1352,4867,1262,6,5312831,275591
523,Hardinxveld-Giessendam,19439,0.188,0.13699999999999998,0.051,3655,1206,241,868,225,1,948102,49135,2663,879,176,634,164,1,691030,35814,991,327,65,234,61,0,257072,13321
531,Hendrik-Ido-Ambacht,33090,0.17600000000000002,0.131,0.045,5824,1922,384,1382,358,2,1510989,78179,4335,1431,286,1030,267,1,1124987,58306,1489,491,98,353,92,0,386002,20091
532,Stede Broec,22353,0.23800000000000002,0.18,0.057999999999999996,5320,1756,351,1264,328,1,1380487,71627,4024,1328,266,958,248,1,1044013,54157,1296,428,86,310,80,0,336474,17470
534,Hillegom,23034,0.22,0.16399999999999998,0.057,5067,1672,334,1202,312,1,1314450,68133,3778,1247,249,896,232,1,980335,50663,1313,433,87,313,81,0,340405,17688
537,Katwijk,67252,0.19699999999999998,0.14800000000000002,0.048,13249,4372,874,3146,816,4,3437067,178195,9953,3284,657,2365,613,3,2581731,133865,3228,1065,213,767,199,1,837254,43457
542,Krimpen aan den IJssel,29913,0.24600000000000002,0.171,0.075,7359,2428,486,1750,454,2,1908783,99143,5115,1688,338,1217,316,1,1327029,69007,2243,740,148,533,138,1,581754,30136
546,Leiden,130379,0.16399999999999998,0.127,0.038,21382,7056,1411,5080,1317,6,5547105,287601,16558,5464,1093,3935,1020,5,4295548,222744,4954,1635,327,1177,305,1,1285362,66605
547,Leiderdorp,27926,0.239,0.175,0.064,6674,2202,440,1584,411,2,1731112,89753,4887,1613,323,1163,302,1,1268067,65950,1787,590,118,425,110,0,463831,24021
553,Lisse,23799,0.24600000000000002,0.18,0.066,5855,1932,386,1390,360,2,1518850,78615,4284,1414,283,1019,264,1,1111622,57651,1571,518,104,374,97,0,407228,21182
556,Maassluis,36927,0.228,0.171,0.057,8419,2778,556,2002,519,2,2183937,113337,6315,2084,417,1501,389,2,1638346,84948,2105,695,139,500,130,1,546377,28389
569,Nieuwkoop,29701,0.231,0.175,0.055,6861,2264,453,1631,423,2,1779854,92373,5198,1715,343,1235,320,1,1348255,69880,1634,539,108,389,101,0,423737,22056
575,Noordwijk,46371,0.237,0.179,0.057999999999999996,10990,3627,725,2610,677,3,2851382,147841,8300,2739,548,1973,512,2,2153277,111809,2690,888,178,641,166,1,698105,36250
579,Oegstgeest,26124,0.21600000000000003,0.156,0.06,5643,1862,372,1339,347,2,1463819,75777,4075,1345,269,968,251,1,1057378,54812,1567,517,103,371,96,0,406442,20964
589,Oudewater,10474,0.231,0.16899999999999998,0.061,2419,798,160,576,149,1,627351,32538,1770,584,117,421,109,0,459114,23803,639,211,42,151,39,0,165879,8517
590,Papendrecht,32261,0.23199999999999998,0.16699999999999998,0.065,7485,2470,494,1778,461,2,1941801,100671,5388,1778,356,1282,332,1,1397783,72501,2097,692,138,497,129,1,544019,28171
597,Ridderkerk,48050,0.245,0.175,0.07,11772,3885,777,2797,725,3,3054210,158323,8409,2775,555,1998,518,2,2181578,113119,3364,1110,222,799,207,1,872631,45204
599,Rotterdam,674147,0.16,0.12,0.039,107864,35595,7119,25628,6644,29,27983166,1450892,80898,26696,5339,19220,4983,22,20987178,1088169,26292,8676,1735,6246,1619,7,6820675,353551
603,Rijswijk,61556,0.20600000000000002,0.14800000000000002,0.057,12681,4185,837,3013,781,3,3290056,170552,9110,3006,601,2164,561,2,2363180,122509,3509,1158,232,835,216,1,910367,47169
606,Schiedam,82001,0.17800000000000002,0.135,0.043,14596,4817,963,3467,899,4,3786906,196320,11070,3653,731,2632,682,3,2871822,148933,3526,1164,233,839,218,1,915084,47606
610,Sliedrecht,26567,0.20600000000000002,0.149,0.057,5473,1806,361,1300,337,1,1419795,73593,3958,1306,261,940,244,1,1026718,53284,1514,500,100,360,93,0,393077,20309
613,Albrandswaard,26619,0.19399999999999998,0.149,0.046,5164,1704,341,1228,318,1,1339607,69444,3966,1309,262,943,244,1,1029076,53284,1224,404,81,292,76,0,317606,16597
622,Vlaardingen,77400,0.207,0.151,0.057,16022,5287,1057,3805,986,4,4156398,215319,11687,3857,771,2776,720,3,3032197,157231,4412,1456,291,1048,272,1,1144641,59398
626,Voorschoten,25948,0.249,0.175,0.07400000000000001,6461,2132,426,1534,398,2,1676081,86914,4541,1499,300,1080,280,1,1178445,61145,1920,634,127,457,118,1,498422,25768
627,Waddinxveen,35470,0.18,0.138,0.042,6385,2107,421,1516,393,2,1656427,85822,4895,1615,323,1163,302,1,1269639,65950,1490,492,98,353,92,0,386788,20091
629,Wassenaar,28101,0.258,0.174,0.084,7250,2392,478,1721,446,2,1880481,97396,4890,1614,323,1163,302,1,1268853,65950,2360,779,156,562,146,1,612414,31883
632,Woerden,54188,0.205,0.153,0.052000000000000005,11109,3666,733,2639,684,3,2882042,149369,8291,2736,547,1969,510,2,2150918,111372,2818,930,186,670,174,1,731124,37997
637,Zoetermeer,130672,0.213,0.16899999999999998,0.044000000000000004,27833,9185,1837,6613,1714,8,7220828,374297,22084,7288,1458,5249,1361,6,5729493,297210,5750,1898,380,1368,355,2,1492121,77524
638,Zoeterwoude,10349,0.226,0.17,0.055,2339,772,154,554,144,1,606911,31446,1759,580,116,418,108,0,455970,23585,569,188,38,137,36,0,147797,7862
642,Zwijndrecht,44842,0.235,0.168,0.067,10538,3478,696,2506,650,3,2734245,141945,7533,2486,497,1789,464,2,1954380,101327,3004,991,198,713,185,1,779079,40400
654,Borsele,23148,0.228,0.17300000000000001,0.055,5278,1742,348,1253,325,1,1369481,70972,4005,1322,264,950,246,1,1039296,53721,1273,420,84,302,78,0,330185,17033
664,Goes,40388,0.247,0.179,0.068,9976,3292,658,2369,614,3,2588020,134083,7229,2386,477,1717,445,2,1875764,97177,2746,906,181,652,169,1,712256,36906
668,West Maas en Waal,20747,0.23399999999999999,0.18100000000000002,0.053,4855,1602,320,1152,299,1,1259419,65294,3755,1239,248,893,232,1,974045,50663,1100,363,73,263,68,0,285374,14850
677,Hulst,27363,0.275,0.201,0.073,7525,2483,497,1789,464,2,1952021,101327,5500,1815,363,1307,339,2,1426870,74030,1997,659,132,475,123,1,518076,26860
678,Kapelle,13150,0.23199999999999998,0.172,0.06,3051,1007,201,724,188,1,791657,41055,2262,746,149,536,139,1,586471,30354,789,260,52,187,48,0,204400,10482
687,Middelburg,50400,0.233,0.17,0.063,11743,3875,775,2790,723,3,3046348,157886,8568,2827,565,2034,527,2,2222458,115084,3175,1048,210,756,196,1,823890,42802
703,Reimerswaal,23416,0.18100000000000002,0.134,0.047,4238,1399,280,1008,261,1,1099830,56996,3138,1036,207,745,193,1,814456,42147,1101,363,73,263,68,0,285374,14850
715,Terneuzen,55902,0.26,0.188,0.07200000000000001,14535,4797,959,3452,895,4,3771183,195447,10510,3468,694,2498,648,3,2726383,141508,4025,1328,266,958,248,1,1044013,54157
716,Tholen,27036,0.20600000000000002,0.154,0.053,5569,1838,368,1325,344,2,1444952,75121,4164,1374,275,990,257,1,1080176,56123,1433,473,95,342,89,0,371851,19435
717,Veere,21976,0.293,0.21600000000000003,0.077,6439,2125,425,1530,397,2,1670578,86695,4747,1567,313,1127,292,1,1231904,63766,1692,558,112,403,104,0,438674,22711
718,Vlissingen,45906,0.252,0.188,0.064,11568,3817,763,2747,712,3,3000751,155484,8630,2848,570,2052,532,2,2238968,116176,2938,970,194,698,181,1,762570,39526
736,De Ronde Venen,45823,0.22899999999999998,0.171,0.057,10493,3463,693,2495,647,3,2722453,141289,7836,2586,517,1861,482,2,2032995,105257,2612,862,172,619,160,1,677665,34940
737,Tytsjerksteradiel,32925,0.249,0.182,0.067,8198,2705,541,1948,505,2,2126548,110280,5992,1977,395,1422,369,2,1554227,80581,2206,728,146,526,136,1,572320,29699
743,Asten,17472,0.242,0.182,0.06,4228,1395,279,1004,260,1,1096685,56778,3180,1049,210,756,196,1,824676,42802,1048,346,69,248,64,0,272009,13976
744,Baarle-Nassau,7231,0.278,0.207,0.071,2010,663,133,479,124,1,521220,27079,1497,494,99,356,92,0,388360,20091,513,169,34,122,32,0,132860,6988
748,Bergen op Zoom,70624,0.231,0.174,0.057,16314,5384,1077,3877,1005,4,4232655,219468,12289,4055,811,2920,757,3,3187856,165311,4026,1329,266,958,248,1,1044799,54157
753,Best,31678,0.207,0.156,0.051,6557,2164,433,1559,404,2,1701238,88224,4942,1631,326,1174,304,1,1282218,66386,1616,533,107,385,100,0,419020,21838
755,Boekel,11606,0.207,0.156,0.05,2402,793,159,572,148,1,623420,32320,1811,598,120,432,112,0,470120,24458,580,191,38,137,36,0,150155,7862
757,Boxtel,34355,0.239,0.18100000000000002,0.057999999999999996,8211,2710,542,1951,506,2,2130478,110498,6218,2052,410,1476,383,2,1613189,83638,1993,658,132,475,123,1,517290,26860
758,Breda,189960,0.196,0.14400000000000002,0.052000000000000005,37232,12287,2457,8845,2293,10,9659479,500737,27354,9027,1805,6498,1685,7,7096616,367964,9878,3260,652,2347,608,3,2562863,132773
762,Deurne,33505,0.24100000000000002,0.18,0.06,8075,2665,533,1919,498,2,2095101,108751,6031,1990,398,1433,372,2,1564447,81236,2010,663,133,479,124,1,521220,27079
765,Pekela,12490,0.24100000000000002,0.185,0.055999999999999994,3010,993,199,716,186,1,780651,40618,2311,763,153,551,143,1,599836,31228,699,231,46,166,43,0,181602,9390
766,Dongen,27647,0.23,0.17300000000000001,0.057,6359,2098,420,1512,392,2,1649352,85603,4783,1578,316,1138,295,1,1240552,64421,1576,520,104,374,97,0,408800,21182
770,Eersel,20528,0.247,0.182,0.065,5070,1673,335,1206,313,1,1315236,68352,3736,1233,247,889,230,1,969328,50227,1334,440,88,317,82,0,345908,17907
772,Eindhoven,249679,0.16399999999999998,0.11900000000000001,0.045,40947,13513,2703,9731,2523,11,10623304,550963,29712,9805,1961,7060,1830,8,7708244,399628,11236,3708,742,2671,692,3,2915060,151116
777,Etten-Leur,46076,0.22399999999999998,0.17,0.054000000000000006,10321,3406,681,2452,636,3,2677642,138887,7833,2585,517,1861,482,2,2032209,105257,2488,821,164,590,153,1,645433,33412
779,Geertruidenberg,21924,0.231,0.174,0.057,5064,1671,334,1202,312,1,1313664,68133,3815,1259,252,907,235,1,989768,51318,1250,412,82,295,76,0,323896,16597
784,Gilze en Rijen,28418,0.218,0.166,0.052000000000000005,6195,2044,409,1472,382,2,1606900,83420,4717,1557,311,1120,290,1,1224042,63329,1478,488,98,353,92,0,383643,20091
785,Goirle,24804,0.251,0.196,0.055,6226,2055,411,1480,384,2,1615547,83856,4862,1604,321,1156,300,1,1260992,65513,1364,450,90,324,84,0,353769,18344
794,Helmond,96918,0.185,0.142,0.043,17930,5917,1183,4259,1104,5,4651676,241087,13762,4541,908,3269,848,4,3569927,185183,4167,1375,275,990,257,1,1080962,56123
796,'s-Hertogenbosch,162034,0.19699999999999998,0.152,0.045,31921,10534,2107,7585,1966,9,8281350,429328,24629,8128,1626,5854,1518,7,6389863,331495,7292,2406,481,1732,449,2,1891487,98051
797,Heusden,46605,0.22399999999999998,0.172,0.052000000000000005,10440,3445,689,2480,643,3,2708302,140416,8016,2645,529,1904,494,2,2079378,107878,2423,800,160,576,149,1,628924,32538
798,Hilvarenbeek,16308,0.249,0.18600000000000003,0.063,4061,1340,268,965,250,1,1053447,54594,3033,1001,200,720,187,1,786941,40836,1027,339,68,245,64,0,266506,13976
809,Loon op Zand,24194,0.244,0.182,0.062,5903,1948,390,1404,364,2,1531429,79489,4403,1453,291,1048,272,1,1142282,59398,1500,495,99,356,92,0,389146,20091
820,Nuenen c.a.,24394,0.273,0.2,0.073,6660,2198,440,1584,411,2,1727967,89753,4879,1610,322,1159,300,1,1265709,65513,1781,588,118,425,110,0,462259,24021
823,Oirschot,19752,0.25,0.191,0.059000000000000004,4938,1630,326,1174,304,1,1281432,66386,3773,1245,249,896,232,1,978762,50663,1165,384,77,277,72,0,301883,15723
824,Oisterwijk,33384,0.26,0.188,0.07200000000000001,8680,2864,573,2063,535,2,2251546,116831,6276,2071,414,1490,386,2,1628126,84293,2404,793,159,572,148,1,623420,32320
826,Oosterhout,58594,0.23800000000000002,0.18100000000000002,0.057,13945,4602,920,3312,859,4,3617883,187585,10606,3500,700,2520,653,3,2751540,142600,3340,1102,220,792,205,1,866342,44767
828,Oss,95513,0.213,0.162,0.051,20344,6714,1343,4835,1254,6,5278241,273844,15473,5106,1021,3676,953,4,4014104,208113,4871,1607,321,1156,300,1,1263350,65513
840,Rucphen,24006,0.239,0.187,0.051,5737,1893,379,1364,354,2,1488190,77305,4489,1481,296,1066,276,1,1164295,60272,1224,404,81,292,76,0,317606,16597
845,Sint-Michielsgestel,30198,0.23399999999999999,0.175,0.059000000000000004,7066,2332,466,1678,435,2,1833312,94994,5285,1744,349,1256,326,1,1371053,71191,1782,588,118,425,110,0,462259,24021
847,Someren,20423,0.22699999999999998,0.17,0.057,4636,1530,306,1102,286,1,1202816,62456,3472,1146,229,824,214,1,900933,46733,1164,384,77,277,72,0,301883,15723
848,Son en Breugel,18117,0.22399999999999998,0.14800000000000002,0.076,4058,1339,268,965,250,1,1052661,54594,2681,885,177,637,165,1,695747,36032,1377,454,91,328,85,0,356914,18562
851,Steenbergen,24503,0.243,0.184,0.06,5954,1965,393,1415,367,2,1544793,80144,4509,1488,298,1073,278,1,1169798,60709,1470,485,97,349,90,0,381285,19654
852,Waterland,17757,0.265,0.19699999999999998,0.068,4706,1553,311,1120,290,1,1220898,63329,3498,1154,231,832,216,1,907222,47169,1207,398,80,288,75,0,312889,16378
855,Tilburg,230825,0.17600000000000002,0.134,0.043,40625,13406,2681,9652,2502,11,10539186,546377,30931,10207,2041,7348,1905,8,8024278,416007,9925,3275,655,2358,611,3,2574656,133428
858,Valkenswaard,31932,0.266,0.191,0.076,8494,2803,561,2020,524,2,2203591,114429,6099,2013,403,1451,376,2,1582529,82109,2427,801,160,576,149,1,629710,32538
861,Veldhoven,47800,0.228,0.168,0.06,10898,3596,719,2588,671,3,2827011,146530,8030,2650,530,1908,495,2,2083309,108096,2868,946,189,680,176,1,743702,38434
865,Vught,33270,0.23399999999999999,0.172,0.062,7785,2569,514,1850,480,2,2019631,104821,5722,1888,378,1361,353,2,1484259,77087,2063,681,136,490,127,1,535371,27734
866,Waalre,17851,0.248,0.17300000000000001,0.076,4427,1461,292,1051,272,1,1148572,59398,3088,1019,204,734,190,1,801091,41491,1357,448,90,324,84,0,352197,18344
