gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
867,Waalwijk,51529,0.221,0.16399999999999998,0.055999999999999994,11388,3758,752,2707,702,3,2954368,153300,8451,2789,558,2009,521,2,2192585,113774,2886,952,190,684,177,1,748419,38653
873,Woensdrecht,22323,0.255,0.185,0.071,5692,1878,376,1354,351,2,1476398,76650,4130,1363,273,983,255,1,1071528,55686,1585,523,105,378,98,0,411159,21401
879,Zundert,23127,0.24600000000000002,0.187,0.059000000000000004,5689,1877,375,1350,350,2,1475612,76432,4325,1427,285,1026,266,1,1121842,58088,1364,450,90,324,84,0,353769,18344
880,Wormerland,16375,0.242,0.171,0.071,3963,1308,262,943,244,1,1028290,53284,2800,924,185,666,173,1,726407,37779,1163,384,77,277,72,0,301883,15723
882,Landgraaf,36885,0.282,0.215,0.068,10402,3433,687,2473,641,3,2698868,139979,7930,2617,523,1883,488,2,2057366,106568,2508,828,166,598,155,1,650936,33848
888,Beek,16206,0.281,0.20600000000000002,0.075,4554,1503,301,1084,281,1,1181590,61364,3338,1102,220,792,205,1,866342,44767,1215,401,80,288,75,0,315248,16378
889,Beesel,13524,0.26,0.19899999999999998,0.061,3516,1160,232,835,216,1,911939,47169,2691,888,178,641,166,1,698105,36250,825,272,54,194,50,0,213834,10919
893,Bergen (L),13096,0.27,0.21100000000000002,0.059000000000000004,3536,1167,233,839,218,1,917442,47606,2763,912,182,655,170,1,716973,37124,773,255,51,184,48,0,200469,10482
899,Brunssum,27554,0.276,0.203,0.073,7605,2510,502,1807,468,2,1973248,102200,5593,1846,369,1328,344,2,1451241,75121,2011,664,133,479,124,1,522007,27079
907,Gennep,17909,0.267,0.203,0.064,4782,1578,316,1138,295,1,1240552,64421,3636,1200,240,864,224,1,943385,48916,1146,378,76,274,71,0,297166,15505
917,Heerlen,87675,0.248,0.184,0.064,21743,7175,1435,5166,1339,6,5640658,292406,16132,5324,1065,3834,994,4,4185486,217066,5611,1852,370,1332,345,2,1455958,75340
928,Kerkrade,45827,0.272,0.20600000000000002,0.066,12465,4113,823,2963,768,3,3233453,167713,9440,3115,623,2243,582,3,2448871,127095,3025,998,200,720,187,1,784582,40836
935,Maastricht,126079,0.22399999999999998,0.16399999999999998,0.06,28242,9320,1864,6710,1740,8,7326959,379975,20677,6823,1365,4914,1274,6,5363931,278211,7565,2496,499,1796,466,2,1962241,101763
938,Meerssen,18452,0.289,0.209,0.079,5333,1760,352,1267,328,1,1383632,71627,3856,1272,254,914,237,1,999988,51755,1458,481,96,346,90,0,378140,19654
944,Mook en Middelaar,8128,0.294,0.21899999999999997,0.076,2390,789,158,569,148,1,620276,32320,1780,587,117,421,109,0,461473,23803,618,204,41,148,38,0,160375,8298
946,Nederweert,17607,0.258,0.19399999999999998,0.064,4543,1499,300,1080,280,1,1178445,61145,3416,1127,225,810,210,1,885996,45859,1127,372,74,266,69,0,292449,15068
957,Roermond,61339,0.22699999999999998,0.172,0.055,13924,4595,919,3308,858,4,3612379,187367,10550,3482,696,2506,650,3,2737390,141945,3374,1113,223,803,208,1,874990,45422
965,Simpelveld,10398,0.294,0.214,0.08,3057,1009,202,727,188,1,793230,41055,2225,734,147,529,137,1,577037,29918,832,275,55,198,51,0,216192,11137
971,Stein,24675,0.297,0.22,0.076,7328,2418,484,1742,452,2,1900921,98706,5428,1791,358,1289,334,1,1408003,72938,1875,619,124,446,116,1,486630,25332
981,Vaals,9957,0.302,0.21899999999999997,0.083,3007,992,198,713,185,1,779865,40400,2181,720,144,518,134,1,566031,29262,826,273,55,198,51,0,214620,11137
983,Venlo,104195,0.235,0.17600000000000002,0.057999999999999996,24486,8080,1616,5818,1508,7,6352127,329311,18338,6052,1210,4356,1129,5,4757806,246547,6043,1994,399,1436,372,2,1567592,81236
984,Venray,45260,0.23800000000000002,0.17800000000000002,0.06,10772,3555,711,2560,664,3,2794779,145002,8056,2658,532,1915,496,2,2089598,108315,2716,896,179,644,167,1,704394,36469
986,Voerendaal,12471,0.29,0.21100000000000002,0.079,3617,1194,239,860,223,1,938668,48698,2631,868,174,626,162,1,682382,35377,985,325,65,234,61,0,255500,13321
988,Weert,51461,0.248,0.17800000000000002,0.07,12762,4211,842,3031,786,3,3310496,171644,9160,3023,605,2178,565,3,2376545,123383,3602,1189,238,857,222,1,934738,48480
994,Valkenburg aan de Geul,16524,0.319,0.223,0.096,5271,1739,348,1253,325,1,1367122,70972,3685,1216,243,875,227,1,955964,49571,1586,523,105,378,98,0,411159,21401
995,Lelystad,85384,0.183,0.14800000000000002,0.035,15625,5156,1031,3712,962,4,4053412,210078,12637,4170,834,3002,778,3,3278264,169897,2988,986,197,709,184,1,775148,40181
1507,Horst aan de Maas,44848,0.242,0.179,0.062,10853,3581,716,2578,668,3,2815219,145875,8028,2649,530,1908,495,2,2082523,108096,2781,918,184,662,172,1,721690,37561
1509,Oude IJsselstreek,39612,0.264,0.19899999999999998,0.064,10458,3451,690,2484,644,3,2713019,140634,7883,2601,520,1872,485,2,2044788,105912,2535,837,167,601,156,1,658011,34067
1525,Teylingen,38686,0.218,0.161,0.057,8434,2783,557,2005,520,2,2187868,113556,6228,2055,411,1480,384,2,1615547,83856,2205,728,146,526,136,1,572320,29699
1581,Utrechtse Heuvelrug,51114,0.258,0.179,0.079,13187,4352,870,3132,812,4,3421344,177321,9149,3019,604,2174,564,3,2373400,123164,4038,1333,267,961,249,1,1047944,54376
1586,Oost Gelre,29919,0.252,0.19,0.061,7540,2488,498,1793,465,2,1955952,101545,5685,1876,375,1350,350,2,1474826,76432,1825,602,120,432,112,0,473265,24458
1598,Koggenland,24175,0.22399999999999998,0.17,0.054000000000000006,5415,1787,357,1285,333,1,1404858,72719,4110,1356,271,976,253,1,1066025,55249,1305,431,86,310,80,0,338833,17470
1621,Lansingerland,66495,0.168,0.125,0.044000000000000004,11171,3686,737,2653,688,3,2897765,150243,8312,2743,549,1976,512,2,2156421,111809,2926,966,193,695,180,1,759425,39308
1640,Leudal,36142,0.273,0.204,0.069,9867,3256,651,2344,608,3,2559719,132773,7373,2433,487,1753,454,2,1912714,99143,2494,823,165,594,154,1,647005,33630
1641,Maasgouw,24413,0.294,0.221,0.073,7177,2368,474,1706,442,2,1861614,96522,5395,1780,356,1282,332,1,1399355,72501,1782,588,118,425,110,0,462259,24021
1652,Gemert-Bakel,31754,0.221,0.172,0.049,7018,2316,463,1667,432,2,1820734,94339,5462,1802,360,1296,336,1,1416650,73374,1556,513,103,371,96,0,403297,20964
1655,Halderberge,31472,0.24600000000000002,0.182,0.064,7742,2555,511,1840,477,2,2008624,104165,5728,1890,378,1361,353,2,1485832,77087,2014,665,133,479,124,1,522793,27079
1658,Heeze-Leende,17130,0.263,0.191,0.07200000000000001,4505,1487,297,1069,277,1,1169012,60490,3272,1080,216,778,202,1,849047,44112,1233,407,81,292,76,0,319965,16597
1659,Laarbeek,23521,0.24600000000000002,0.184,0.062,5786,1909,382,1375,356,2,1500769,77742,4328,1428,286,1030,267,1,1122628,58306,1458,481,96,346,90,0,378140,19654
1667,Reusel-De Mierden,13727,0.235,0.19,0.046,3226,1065,213,767,199,1,837254,43457,2608,861,172,619,160,1,676879,34940,631,208,42,151,39,0,163520,8517
1669,Roerdalen,20886,0.297,0.22399999999999998,0.073,6203,2047,409,1472,382,2,1609258,83420,4678,1544,309,1112,288,1,1213822,62892,1525,503,101,364,94,0,395436,20527
1674,Roosendaal,78063,0.23199999999999998,0.17300000000000001,0.059000000000000004,18111,5977,1195,4302,1115,5,4698845,243489,13505,4457,891,3208,832,4,3503890,181689,4606,1520,304,1094,284,1,1194955,62019
1676,Schouwen-Duiveland,34425,0.293,0.213,0.08,10087,3329,666,2398,622,3,2617108,135830,7333,2420,484,1742,452,2,1902494,98706,2754,909,182,655,170,1,714614,37124
1680,Aa en Hunze,26071,0.292,0.22399999999999998,0.067,7613,2512,502,1807,468,2,1974820,102200,5840,1927,385,1386,359,2,1514920,78397,1747,577,115,414,107,0,453611,23366
1681,Borger-Odoorn,26154,0.268,0.20600000000000002,0.062,7009,2313,463,1667,432,2,1818375,94339,5388,1778,356,1282,332,1,1397783,72501,1622,535,107,385,100,0,420593,21838
1690,De Wolden,24778,0.266,0.19699999999999998,0.068,6591,2175,435,1566,406,2,1709886,88661,4881,1611,322,1159,300,1,1266495,65513,1685,556,111,400,104,0,437102,22711
1695,Noord-Beveland,8063,0.305,0.22699999999999998,0.078,2459,811,162,583,151,1,637571,32975,1830,604,121,436,113,1,474837,24677,629,208,42,151,39,0,163520,8517
1696,Wijdemeren,24619,0.257,0.18899999999999997,0.068,6327,2088,418,1505,390,2,1641490,85167,4653,1535,307,1105,286,1,1206747,62456,1674,552,110,396,103,0,433957,22493
1699,Noordenveld,31684,0.29100000000000004,0.209,0.08199999999999999,9220,3043,609,2192,568,3,2392268,124038,6622,2185,437,1573,408,2,1717747,89097,2598,857,171,616,160,1,673734,34940
1700,Twenterand,34178,0.21100000000000002,0.161,0.05,7212,2380,476,1714,444,2,1871047,96959,5503,1816,363,1307,339,2,1427656,74030,1709,564,113,407,106,0,443391,23148
1701,Westerveld,20031,0.317,0.23399999999999999,0.08199999999999999,6350,2096,419,1508,391,2,1647780,85385,4687,1547,309,1112,288,1,1216181,62892,1643,542,108,389,101,0,426096,22056
1705,Lingewaard,47807,0.242,0.187,0.055,11569,3818,764,2750,713,3,3001537,155702,8940,2950,590,2124,551,2,2319155,120325,2629,868,174,626,162,1,682382,35377
1706,Cranendonck,21447,0.255,0.191,0.063,5469,1805,361,1300,337,1,1419009,73593,4096,1352,270,972,252,1,1062881,55031,1351,446,89,320,83,0,350625,18125
1708,Steenwijkerland,45876,0.242,0.182,0.06,11102,3664,733,2639,684,3,2880470,149369,8349,2755,551,1984,514,2,2165855,112245,2753,908,182,655,170,1,713828,37124
1709,Moerdijk,38410,0.235,0.17800000000000002,0.055999999999999994,9026,2979,596,2146,556,2,2341954,121417,6837,2256,451,1624,421,2,1773564,91936,2151,710,142,511,132,1,558170,28826
1711,Echt-Susteren,32366,0.27899999999999997,0.212,0.067,9030,2980,596,2146,556,2,2342740,121417,6862,2264,453,1631,423,2,1779854,92373,2169,716,143,515,134,1,562887,29262
1714,Sluis,23188,0.301,0.22,0.081,6980,2303,461,1660,430,2,1810514,93902,5101,1683,337,1213,314,1,1323098,68570,1878,620,124,446,116,1,487416,25332
1719,Drimmelen,28399,0.243,0.18600000000000003,0.057,6901,2277,455,1638,425,2,1790074,92810,5282,1743,349,1256,326,1,1370267,71191,1619,534,107,385,100,0,419806,21838
1721,Bernheze,32836,0.231,0.172,0.059000000000000004,7585,2503,501,1804,468,2,1967744,102200,5648,1864,373,1343,348,2,1465392,75995,1937,639,128,461,120,1,502353,26205
1723,Alphen-Chaam,10485,0.256,0.193,0.063,2684,886,177,637,165,1,696533,36032,2024,668,134,482,125,1,525151,27297,661,218,44,158,41,0,171382,8953
1724,Bergeijk,19380,0.24600000000000002,0.185,0.062,4767,1573,315,1134,294,1,1236621,64203,3585,1183,237,853,221,1,930021,48261,1202,397,79,284,74,0,312103,16160
1728,Bladel,20984,0.24100000000000002,0.17300000000000001,0.068,5057,1669,334,1202,312,1,1312092,68133,3630,1198,240,864,224,1,941813,48916,1427,471,94,338,88,0,370279,19217
1729,Gulpen-Wittem,13950,0.32,0.23800000000000002,0.081,4464,1473,295,1062,275,1,1158005,60053,3320,1096,219,788,204,1,861625,44549,1130,373,75,270,70,0,293236,15286
1730,Tynaarlo,35111,0.259,0.188,0.071,9094,3001,600,2160,560,2,2359249,122291,6601,2178,436,1570,407,2,1712244,88879,2493,823,165,594,154,1,647005,33630
1731,Midden-Drenthe,34348,0.263,0.2,0.063,9034,2981,596,2146,556,2,2343526,121417,6870,2267,453,1631,423,2,1782212,92373,2164,714,143,515,134,1,561314,29262
1734,Overbetuwe,49241,0.217,0.166,0.051,10685,3526,705,2538,658,3,2771980,143692,8174,2697,539,1940,503,2,2120258,109843,2511,829,166,598,155,1,651722,33848
1735,Hof van Twente,35794,0.264,0.18899999999999997,0.075,9450,3118,624,2246,582,3,2451229,127095,6765,2232,446,1606,416,2,1754697,90845,2685,886,177,637,165,1,696533,36032
1740,Neder-Betuwe,25895,0.18,0.141,0.039,4661,1538,308,1109,288,1,1209105,62892,3651,1205,241,868,225,1,947316,49135,1010,333,67,241,62,0,261789,13539
1742,Rijssen-Holten,39170,0.2,0.147,0.053,7834,2585,517,1861,482,2,2032209,105257,5758,1900,380,1368,355,2,1493693,77524,2076,685,137,493,128,1,538516,27952
1771,Geldrop-Mierlo,40737,0.239,0.17600000000000002,0.063,9736,3213,643,2315,600,3,2525914,131026,7170,2366,473,1703,442,2,1860041,96522,2566,847,169,608,158,1,665873,34503
1773,Olst-Wijhe,19043,0.23800000000000002,0.183,0.055,4532,1496,299,1076,279,1,1176087,60927,3485,1150,230,828,215,1,904078,46951,1047,346,69,248,64,0,272009,13976
1774,Dinkelland,26916,0.247,0.184,0.064,6648,2194,439,1580,410,2,1724823,89534,4953,1634,327,1177,305,1,1284576,66605,1723,569,114,410,106,0,447322,23148
1783,Westland,118334,0.20600000000000002,0.152,0.054000000000000006,24377,8044,1609,5792,1502,7,6323826,328001,17987,5936,1187,4273,1108,5,4666612,241961,6390,2109,422,1519,394,2,1658000,86040
1842,Midden-Delfland,19371,0.221,0.165,0.055999999999999994,4281,1413,283,1019,264,1,1110836,57651,3196,1055,211,760,197,1,829393,43020,1085,358,72,259,67,0,281443,14631
1859,Berkelland,43941,0.272,0.204,0.068,11952,3944,789,2840,736,3,3100593,160725,8964,2958,592,2131,552,2,2325445,120544,2988,986,197,709,184,1,775148,40181
1876,Bronckhorst,36000,0.29100000000000004,0.218,0.073,10476,3457,691,2488,645,3,2717736,140853,7848,2590,518,1865,484,2,2036140,105694,2628,867,173,623,162,1,681596,35377
1883,Sittard-Geleen,92348,0.261,0.195,0.066,24103,7954,1591,5728,1485,7,6253072,324289,18008,5943,1189,4280,1110,5,4672116,242398,6095,2011,402,1447,375,2,1580956,81891
1884,Kaag en Braassem,29404,0.223,0.17,0.053,6557,2164,433,1559,404,2,1701238,88224,4999,1650,330,1188,308,1,1297155,67260,1558,514,103,371,96,0,404083,20964
1891,Dantumadiel,19209,0.24100000000000002,0.179,0.063,4629,1528,306,1102,286,1,1201244,62456,3438,1135,227,817,212,1,892285,46296,1210,399,80,288,75,0,313676,16378
1892,Zuidplas,49088,0.192,0.14800000000000002,0.045,9425,3110,622,2239,580,3,2444940,126658,7265,2397,479,1724,447,2,1884412,97614,2209,729,146,526,136,1,573107,29699
1894,Peel en Maas,45881,0.247,0.18600000000000003,0.061,11333,3740,748,2693,698,3,2940217,152427,8534,2816,563,2027,526,2,2213811,114866,2799,924,185,666,173,1,726407,37779
1895,Oldambt,39710,0.264,0.19899999999999998,0.064,10483,3459,692,2491,646,3,2719308,141071,7902,2608,522,1879,487,2,2050291,106349,2541,839,168,605,157,1,659584,34285
1896,Zwartewaterland,23660,0.185,0.142,0.043,4377,1444,289,1040,270,1,1135207,58962,3360,1109,222,799,207,1,871845,45204,1017,336,67,241,62,0,264148,13539
1900,Súdwest Fryslân,90563,0.248,0.184,0.064,22460,7412,1482,5335,1383,6,5826976,302014,16664,5499,1100,3960,1027,5,4323063,224272,5796,1913,383,1379,358,2,1503913,78179
1901,Bodegraven-Reeuwijk,37228,0.213,0.158,0.055999999999999994,7930,2617,523,1883,488,2,2057366,106568,5882,1941,388,1397,362,2,1525926,79052,2085,688,138,497,129,1,540874,28171
1903,Eijsden-Margraten,26370,0.27899999999999997,0.207,0.07200000000000001,7357,2428,486,1750,454,2,1908783,99143,5459,1801,360,1296,336,1,1415864,73374,1899,627,125,450,117,1,492919,25550
1904,Stichtse Vecht,66118,0.226,0.172,0.053,14943,4931,986,3550,920,4,3876527,200906,11372,3753,751,2704,701,3,2950437,153082,3504,1156,231,832,216,1,908794,47169
1911,Hollands Kroon,50384,0.226,0.171,0.055,11387,3758,752,2707,702,3,2954368,153300,8616,2843,569,2048,531,2,2235037,115958,2771,914,183,659,171,1,718545,37342
1916,Leidschendam-Voorburg,78718,0.235,0.16899999999999998,0.066,18499,6105,1221,4396,1140,5,4799473,248949,13303,4390,878,3161,820,4,3451218,179068,5195,1714,343,1235,320,1,1347469,69880
1924,Goeree-Overflakkee,52688,0.233,0.17300000000000001,0.061,12276,4051,810,2916,756,3,3184711,165092,9115,3008,602,2167,562,2,2364752,122727,3214,1061,212,763,198,1,834110,43238
1926,Pijnacker-Nootdorp,58706,0.165,0.121,0.044000000000000004,9686,3196,639,2300,596,3,2512549,130152,7103,2344,469,1688,438,2,1842746,95649,2583,852,170,612,159,1,669804,34722
1930,Nissewaard,88932,0.218,0.172,0.046,19387,6398,1280,4608,1195,5,5029816,260960,15296,5048,1010,3636,943,4,3968507,205929,4091,1350,270,972,252,1,1061308,55031
1931,Krimpenerwaard,57950,0.226,0.16699999999999998,0.059000000000000004,13097,4322,864,3110,806,4,3397759,176011,9678,3194,639,2300,596,3,2510977,130152,3419,1128,226,814,211,1,886782,46077
1940,De Fryske Marren,52220,0.255,0.19,0.065,13316,4394,879,3164,820,4,3454362,179068,9922,3274,655,2358,611,3,2573869,133428,3394,1120,224,806,209,1,880493,45641
1942,Gooise Meren,61241,0.21,0.146,0.064,12861,4244,849,3056,792,4,3336439,172954,8941,2951,590,2124,551,2,2319942,120325,3919,1293,259,932,242,1,1016498,52847
1945,Berg en Dal,35739,0.268,0.19899999999999998,0.069,9578,3161,632,2275,590,3,2485034,128842,7112,2347,469,1688,438,2,1845104,95649,2466,814,163,587,152,1,639930,33193
1948,Meierijstad,85192,0.228,0.174,0.055,19424,6410,1282,4615,1196,5,5039250,261178,14823,4892,978,3521,913,4,3845867,199377,4686,1546,309,1112,288,1,1215395,62892
1949,Waadhoeke,47133,0.243,0.185,0.057,11453,3779,756,2722,706,3,2970877,154174,8720,2878,576,2074,538,2,2262552,117486,2687,887,177,637,165,1,697319,36032
1950,Westerwolde,25673,0.268,0.204,0.064,6880,2270,454,1634,424,2,1784570,92592,5237,1728,346,1246,323,1,1358475,70536,1643,542,108,389,101,0,426096,22056
1952,Midden-Groningen,61381,0.242,0.184,0.057,14854,4902,980,3528,915,4,3853729,199814,11294,3727,745,2682,695,3,2929997,151771,3499,1155,231,832,216,1,908008,47169
1954,Beekdaelen,35960,0.281,0.20800000000000002,0.073,10105,3335,667,2401,622,3,2621825,135830,7480,2468,494,1778,461,2,1940229,100671,2625,866,173,623,162,1,680810,35377
1955,Montferland,36998,0.251,0.188,0.064,9286,3064,613,2207,572,3,2408777,124911,6956,2295,459,1652,428,2,1804224,93465,2368,781,156,562,146,1,613987,31883
1959,Altena,58863,0.21,0.16,0.05,12361,4079,816,2938,762,3,3206724,166403,9418,3108,622,2239,580,3,2443368,126658,2943,971,194,698,181,1,763356,39526
1960,West Betuwe,53406,0.207,0.158,0.049,11055,3648,730,2628,681,3,2867891,148714,8438,2785,557,2005,520,2,2189440,113556,2617,864,173,623,162,1,679237,35377
1961,Vijfheerenlanden,63263,0.20600000000000002,0.153,0.053,13032,4301,860,3096,803,4,3381250,175356,9679,3194,639,2300,596,3,2510977,130152,3353,1106,221,796,206,1,869487,44986
1963,Hoeksche Waard,91331,0.24,0.179,0.06,21919,7233,1447,5209,1350,6,5686255,294808,16348,5395,1079,3884,1007,4,4241303,219905,5480,1808,362,1303,338,1,1421367,73811
1966,Het Hogeland,48118,0.262,0.203,0.059000000000000004,12607,4160,832,2995,776,3,3270402,169460,9768,3223,645,2322,602,3,2533776,131462,2839,937,187,673,174,1,736627,37997
1969,Westerkwartier,65017,0.226,0.16899999999999998,0.057,14694,4849,970,3492,905,4,3812063,197630,10988,3626,725,2610,677,3,2850596,147841,3706,1223,245,882,229,1,961467,50008
1970,Noardeast-Fryslân,45922,0.231,0.172,0.057999999999999996,10608,3501,700,2520,653,3,2752327,142600,7899,2607,521,1876,486,2,2049504,106131,2663,879,176,634,164,1,691030,35814
1978,Molenlanden,45533,0.204,0.154,0.049,9289,3065,613,2207,572,3,2409563,124911,7012,2314,463,1667,432,2,1819161,94339,2231,736,147,529,137,1,578610,29918
1979,Eemsdelta,44961,0.267,0.19899999999999998,0.067,12005,3962,792,2851,739,3,3114744,161380,8947,2953,591,2128,552,2,2321514,120544,3012,994,199,716,186,1,781437,40618
1980,Dijk en Waard,91219,0.20199999999999999,0.154,0.047,18426,6081,1216,4378,1135,5,4780605,247857,14048,4636,927,3337,865,4,3644612,188895,4287,1415,283,1019,264,1,1112408,57651
1982,Land van Cuijk,93485,0.245,0.18600000000000003,0.059000000000000004,22904,7558,1512,5443,1411,6,5941755,308129,17388,5738,1148,4133,1072,5,4510954,234099,5516,1820,364,1310,340,2,1430801,74248
1991,Maashorst,60033,0.23199999999999998,0.174,0.059000000000000004,13928,4596,919,3308,858,4,3613166,187367,10446,3447,689,2480,643,3,2709874,140416,3542,1169,234,842,218,1,919014,47606
1992,Voorne aan Zee,74938,0.249,0.191,0.057999999999999996,18660,6158,1232,4435,1150,5,4841139,251133,14313,4723,945,3402,882,4,3713007,192608,4346,1434,287,1033,268,1,1127345,58525
